frequency table
clock speed = 1843200.0
frequency: 158 hz, coarse = 2, fine = 217
frequency: 159 hz, coarse = 2, fine = 213
frequency: 160 hz, coarse = 2, fine = 208
frequency: 161 hz, coarse = 2, fine = 204
frequency: 162 hz, coarse = 2, fine = 199
frequency: 163 hz, coarse = 2, fine = 195
frequency: 164 hz, coarse = 2, fine = 190
frequency: 165 hz, coarse = 2, fine = 186
frequency: 166 hz, coarse = 2, fine = 182
frequency: 167 hz, coarse = 2, fine = 178
frequency: 168 hz, coarse = 2, fine = 174
frequency: 169 hz, coarse = 2, fine = 170
frequency: 170 hz, coarse = 2, fine = 166
frequency: 171 hz, coarse = 2, fine = 162
frequency: 172 hz, coarse = 2, fine = 158
frequency: 173 hz, coarse = 2, fine = 154
frequency: 174 hz, coarse = 2, fine = 150
frequency: 175 hz, coarse = 2, fine = 146
frequency: 176 hz, coarse = 2, fine = 143
frequency: 177 hz, coarse = 2, fine = 139
frequency: 178 hz, coarse = 2, fine = 135
frequency: 179 hz, coarse = 2, fine = 132
frequency: 180 hz, coarse = 2, fine = 128
frequency: 181 hz, coarse = 2, fine = 124
frequency: 182 hz, coarse = 2, fine = 121
frequency: 183 hz, coarse = 2, fine = 118
frequency: 184 hz, coarse = 2, fine = 114
frequency: 185 hz, coarse = 2, fine = 111
frequency: 186 hz, coarse = 2, fine = 107
frequency: 187 hz, coarse = 2, fine = 104
frequency: 188 hz, coarse = 2, fine = 101
frequency: 189 hz, coarse = 2, fine = 98
frequency: 190 hz, coarse = 2, fine = 94
frequency: 191 hz, coarse = 2, fine = 91
frequency: 192 hz, coarse = 2, fine = 88
frequency: 193 hz, coarse = 2, fine = 85
frequency: 194 hz, coarse = 2, fine = 82
frequency: 195 hz, coarse = 2, fine = 79
frequency: 196 hz, coarse = 2, fine = 76
frequency: 197 hz, coarse = 2, fine = 73
frequency: 198 hz, coarse = 2, fine = 70
frequency: 199 hz, coarse = 2, fine = 67
frequency: 200 hz, coarse = 2, fine = 64
frequency: 201 hz, coarse = 2, fine = 61
frequency: 202 hz, coarse = 2, fine = 58
frequency: 203 hz, coarse = 2, fine = 55
frequency: 204 hz, coarse = 2, fine = 53
frequency: 205 hz, coarse = 2, fine = 50
frequency: 206 hz, coarse = 2, fine = 47
frequency: 207 hz, coarse = 2, fine = 45
frequency: 208 hz, coarse = 2, fine = 42
frequency: 209 hz, coarse = 2, fine = 39
frequency: 210 hz, coarse = 2, fine = 37
frequency: 211 hz, coarse = 2, fine = 34
frequency: 212 hz, coarse = 2, fine = 31
frequency: 213 hz, coarse = 2, fine = 29
frequency: 214 hz, coarse = 2, fine = 26
frequency: 215 hz, coarse = 2, fine = 24
frequency: 216 hz, coarse = 2, fine = 21
frequency: 217 hz, coarse = 2, fine = 19
frequency: 218 hz, coarse = 2, fine = 16
frequency: 219 hz, coarse = 2, fine = 14
frequency: 220 hz, coarse = 2, fine = 12
frequency: 221 hz, coarse = 2, fine = 9
frequency: 222 hz, coarse = 2, fine = 7
frequency: 223 hz, coarse = 2, fine = 5
frequency: 224 hz, coarse = 2, fine = 2
frequency: 225 hz, coarse = 2, fine = 0
frequency: 226 hz, coarse = 1, fine = 254
frequency: 227 hz, coarse = 1, fine = 251
frequency: 228 hz, coarse = 1, fine = 249
frequency: 229 hz, coarse = 1, fine = 247
frequency: 230 hz, coarse = 1, fine = 245
frequency: 231 hz, coarse = 1, fine = 243
frequency: 232 hz, coarse = 1, fine = 241
frequency: 233 hz, coarse = 1, fine = 238
frequency: 234 hz, coarse = 1, fine = 236
frequency: 235 hz, coarse = 1, fine = 234
frequency: 236 hz, coarse = 1, fine = 232
frequency: 237 hz, coarse = 1, fine = 230
frequency: 238 hz, coarse = 1, fine = 228
frequency: 239 hz, coarse = 1, fine = 226
frequency: 240 hz, coarse = 1, fine = 224
frequency: 241 hz, coarse = 1, fine = 222
frequency: 242 hz, coarse = 1, fine = 220
frequency: 243 hz, coarse = 1, fine = 218
frequency: 244 hz, coarse = 1, fine = 216
frequency: 245 hz, coarse = 1, fine = 214
frequency: 246 hz, coarse = 1, fine = 212
frequency: 247 hz, coarse = 1, fine = 210
frequency: 248 hz, coarse = 1, fine = 209
frequency: 249 hz, coarse = 1, fine = 207
frequency: 250 hz, coarse = 1, fine = 205
frequency: 251 hz, coarse = 1, fine = 203
frequency: 252 hz, coarse = 1, fine = 201
frequency: 253 hz, coarse = 1, fine = 199
frequency: 254 hz, coarse = 1, fine = 198
frequency: 255 hz, coarse = 1, fine = 196
frequency: 256 hz, coarse = 1, fine = 194
frequency: 257 hz, coarse = 1, fine = 192
frequency: 258 hz, coarse = 1, fine = 191
frequency: 259 hz, coarse = 1, fine = 189
frequency: 260 hz, coarse = 1, fine = 187
frequency: 261 hz, coarse = 1, fine = 185
frequency: 262 hz, coarse = 1, fine = 184
frequency: 263 hz, coarse = 1, fine = 182
frequency: 264 hz, coarse = 1, fine = 180
frequency: 265 hz, coarse = 1, fine = 179
frequency: 266 hz, coarse = 1, fine = 177
frequency: 267 hz, coarse = 1, fine = 175
frequency: 268 hz, coarse = 1, fine = 174
frequency: 269 hz, coarse = 1, fine = 172
frequency: 270 hz, coarse = 1, fine = 171
frequency: 271 hz, coarse = 1, fine = 169
frequency: 272 hz, coarse = 1, fine = 168
frequency: 273 hz, coarse = 1, fine = 166
frequency: 274 hz, coarse = 1, fine = 164
frequency: 275 hz, coarse = 1, fine = 163
frequency: 276 hz, coarse = 1, fine = 161
frequency: 277 hz, coarse = 1, fine = 160
frequency: 278 hz, coarse = 1, fine = 158
frequency: 279 hz, coarse = 1, fine = 157
frequency: 280 hz, coarse = 1, fine = 155
frequency: 281 hz, coarse = 1, fine = 154
frequency: 282 hz, coarse = 1, fine = 153
frequency: 283 hz, coarse = 1, fine = 151
frequency: 284 hz, coarse = 1, fine = 150
frequency: 285 hz, coarse = 1, fine = 148
frequency: 286 hz, coarse = 1, fine = 147
frequency: 287 hz, coarse = 1, fine = 145
frequency: 288 hz, coarse = 1, fine = 144
frequency: 289 hz, coarse = 1, fine = 143
frequency: 290 hz, coarse = 1, fine = 141
frequency: 291 hz, coarse = 1, fine = 140
frequency: 292 hz, coarse = 1, fine = 139
frequency: 293 hz, coarse = 1, fine = 137
frequency: 294 hz, coarse = 1, fine = 136
frequency: 295 hz, coarse = 1, fine = 135
frequency: 296 hz, coarse = 1, fine = 133
frequency: 297 hz, coarse = 1, fine = 132
frequency: 298 hz, coarse = 1, fine = 131
frequency: 299 hz, coarse = 1, fine = 129
frequency: 300 hz, coarse = 1, fine = 128
frequency: 301 hz, coarse = 1, fine = 127
frequency: 302 hz, coarse = 1, fine = 125
frequency: 303 hz, coarse = 1, fine = 124
frequency: 304 hz, coarse = 1, fine = 123
frequency: 305 hz, coarse = 1, fine = 122
frequency: 306 hz, coarse = 1, fine = 120
frequency: 307 hz, coarse = 1, fine = 119
frequency: 308 hz, coarse = 1, fine = 118
frequency: 309 hz, coarse = 1, fine = 117
frequency: 310 hz, coarse = 1, fine = 116
frequency: 311 hz, coarse = 1, fine = 114
frequency: 312 hz, coarse = 1, fine = 113
frequency: 313 hz, coarse = 1, fine = 112
frequency: 314 hz, coarse = 1, fine = 111
frequency: 315 hz, coarse = 1, fine = 110
frequency: 316 hz, coarse = 1, fine = 109
frequency: 317 hz, coarse = 1, fine = 107
frequency: 318 hz, coarse = 1, fine = 106
frequency: 319 hz, coarse = 1, fine = 105
frequency: 320 hz, coarse = 1, fine = 104
frequency: 321 hz, coarse = 1, fine = 103
frequency: 322 hz, coarse = 1, fine = 102
frequency: 323 hz, coarse = 1, fine = 101
frequency: 324 hz, coarse = 1, fine = 100
frequency: 325 hz, coarse = 1, fine = 98
frequency: 326 hz, coarse = 1, fine = 97
frequency: 327 hz, coarse = 1, fine = 96
frequency: 328 hz, coarse = 1, fine = 95
frequency: 329 hz, coarse = 1, fine = 94
frequency: 330 hz, coarse = 1, fine = 93
frequency: 331 hz, coarse = 1, fine = 92
frequency: 332 hz, coarse = 1, fine = 91
frequency: 333 hz, coarse = 1, fine = 90
frequency: 334 hz, coarse = 1, fine = 89
frequency: 335 hz, coarse = 1, fine = 88
frequency: 336 hz, coarse = 1, fine = 87
frequency: 337 hz, coarse = 1, fine = 86
frequency: 338 hz, coarse = 1, fine = 85
frequency: 339 hz, coarse = 1, fine = 84
frequency: 340 hz, coarse = 1, fine = 83
frequency: 341 hz, coarse = 1, fine = 82
frequency: 342 hz, coarse = 1, fine = 81
frequency: 343 hz, coarse = 1, fine = 80
frequency: 344 hz, coarse = 1, fine = 79
frequency: 345 hz, coarse = 1, fine = 78
frequency: 346 hz, coarse = 1, fine = 77
frequency: 347 hz, coarse = 1, fine = 76
frequency: 348 hz, coarse = 1, fine = 75
frequency: 349 hz, coarse = 1, fine = 74
frequency: 350 hz, coarse = 1, fine = 73
frequency: 351 hz, coarse = 1, fine = 72
frequency: 352 hz, coarse = 1, fine = 71
frequency: 353 hz, coarse = 1, fine = 70
frequency: 354 hz, coarse = 1, fine = 69
frequency: 355 hz, coarse = 1, fine = 69
frequency: 356 hz, coarse = 1, fine = 68
frequency: 357 hz, coarse = 1, fine = 67
frequency: 358 hz, coarse = 1, fine = 66
frequency: 359 hz, coarse = 1, fine = 65
frequency: 360 hz, coarse = 1, fine = 64
frequency: 361 hz, coarse = 1, fine = 63
frequency: 362 hz, coarse = 1, fine = 62
frequency: 363 hz, coarse = 1, fine = 61
frequency: 364 hz, coarse = 1, fine = 60
frequency: 365 hz, coarse = 1, fine = 60
frequency: 366 hz, coarse = 1, fine = 59
frequency: 367 hz, coarse = 1, fine = 58
frequency: 368 hz, coarse = 1, fine = 57
frequency: 369 hz, coarse = 1, fine = 56
frequency: 370 hz, coarse = 1, fine = 55
frequency: 371 hz, coarse = 1, fine = 55
frequency: 372 hz, coarse = 1, fine = 54
frequency: 373 hz, coarse = 1, fine = 53
frequency: 374 hz, coarse = 1, fine = 52
frequency: 375 hz, coarse = 1, fine = 51
frequency: 376 hz, coarse = 1, fine = 50
frequency: 377 hz, coarse = 1, fine = 50
frequency: 378 hz, coarse = 1, fine = 49
frequency: 379 hz, coarse = 1, fine = 48
frequency: 380 hz, coarse = 1, fine = 47
frequency: 381 hz, coarse = 1, fine = 46
frequency: 382 hz, coarse = 1, fine = 46
frequency: 383 hz, coarse = 1, fine = 45
frequency: 384 hz, coarse = 1, fine = 44
frequency: 385 hz, coarse = 1, fine = 43
frequency: 386 hz, coarse = 1, fine = 42
frequency: 387 hz, coarse = 1, fine = 42
frequency: 388 hz, coarse = 1, fine = 41
frequency: 389 hz, coarse = 1, fine = 40
frequency: 390 hz, coarse = 1, fine = 39
frequency: 391 hz, coarse = 1, fine = 39
frequency: 392 hz, coarse = 1, fine = 38
frequency: 393 hz, coarse = 1, fine = 37
frequency: 394 hz, coarse = 1, fine = 36
frequency: 395 hz, coarse = 1, fine = 36
frequency: 396 hz, coarse = 1, fine = 35
frequency: 397 hz, coarse = 1, fine = 34
frequency: 398 hz, coarse = 1, fine = 33
frequency: 399 hz, coarse = 1, fine = 33
frequency: 400 hz, coarse = 1, fine = 32
frequency: 401 hz, coarse = 1, fine = 31
frequency: 402 hz, coarse = 1, fine = 31
frequency: 403 hz, coarse = 1, fine = 30
frequency: 404 hz, coarse = 1, fine = 29
frequency: 405 hz, coarse = 1, fine = 28
frequency: 406 hz, coarse = 1, fine = 28
frequency: 407 hz, coarse = 1, fine = 27
frequency: 408 hz, coarse = 1, fine = 26
frequency: 409 hz, coarse = 1, fine = 26
frequency: 410 hz, coarse = 1, fine = 25
frequency: 411 hz, coarse = 1, fine = 24
frequency: 412 hz, coarse = 1, fine = 24
frequency: 413 hz, coarse = 1, fine = 23
frequency: 414 hz, coarse = 1, fine = 22
frequency: 415 hz, coarse = 1, fine = 22
frequency: 416 hz, coarse = 1, fine = 21
frequency: 417 hz, coarse = 1, fine = 20
